Station,Heure,Jour,Meteo,Affluence
Noisy-le-Grand,23,Mercredi,Nuageux,175
Aéroport d'Orly,7,Vendredi,Nuageux,350
Neuilly-Plaisance,17,Jeudi,Nuageux,572
Gare de Lyon,21,Jeudi,Soleil,451
Nation,7,Vendredi,Soleil,301
Neuilly-Plaisance,18,Mercredi,Pluie,712
Aéroport CDG 2,6,Jeudi,Pluie,81
Vincennes,17,Samedi,Nuageux,453
Cergy-Préfecture,13,Samedi,Pluie,157
Neuilly-Plaisance,14,Mercredi,Nuageux,196
Aéroport d'Orly,12,Samedi,Nuageux,201
Juvisy,11,Dimanche,Nuageux,30
Saint-Denis (Stade),5,Vendredi,Soleil,16
Neuilly-Plaisance,12,Vendredi,Pluie,80
Cergy-Préfecture,12,Vendredi,Pluie,191
Nanterre-Préfecture,10,Jeudi,Soleil,81
Aéroport d'Orly,22,Mardi,Pluie,315
Val de Fontenay,8,Mardi,Nuageux,315
Saint-Denis (Stade),15,Samedi,Soleil,58
Aéroport d'Orly,20,Mardi,Soleil,329
Marne-la-Vallée (Chessy),16,Jeudi,Soleil,65
Gare du Nord,8,Mercredi,Nuageux,496
Noisy-le-Grand,13,Samedi,Nuageux,64
Marne-la-Vallée (Chessy),5,Mardi,Soleil,107
Saint-Lazare,10,Mardi,Soleil,160
Neuilly-Plaisance,5,Samedi,Pluie,207
Auber / Opéra,12,Samedi,Nuageux,151
Gare de Lyon,17,Dimanche,Pluie,814
Auber / Opéra,23,Lundi,Nuageux,387
Noisy-le-Grand,8,Samedi,Pluie,173
Val de Fontenay,11,Vendredi,Soleil,126
Nation,22,Mardi,Pluie,429
Aéroport CDG 2,14,Mardi,Nuageux,288
Gare du Nord,19,Mercredi,Pluie,1719
Versailles-Chantiers,17,Vendredi,Nuageux,655
Juvisy,22,Dimanche,Soleil,162
Versailles-Chantiers,16,Jeudi,Soleil,200
Bercy,19,Jeudi,Pluie,967
Saint-Lazare,12,Lundi,Soleil,255
Boulogne - Pont de Sèvres,15,Mercredi,Pluie,207
Saint-Denis (Stade),7,Mercredi,Pluie,389
Gare de Lyon,18,Vendredi,Soleil,1283
Aéroport CDG 2,12,Mercredi,Soleil,203
Marne-la-Vallée (Chessy),10,Dimanche,Nuageux,101
Marne-la-Vallée (Chessy),5,Samedi,Nuageux,54
Juvisy,14,Lundi,Nuageux,165
Massy-Palaiseau,6,Dimanche,Pluie,73
Juvisy,12,Vendredi,Soleil,143
Juvisy,18,Mercredi,Soleil,705
Montparnasse,5,Mercredi,Soleil,120
République,11,Samedi,Soleil,37
Châtelet-Les Halles,5,Mardi,Nuageux,58
Gare de Lyon,9,Samedi,Pluie,500
Auber / Opéra,22,Mardi,Pluie,451
Val de Fontenay,21,Dimanche,Soleil,177
Marne-la-Vallée (Chessy),21,Lundi,Pluie,348
Bercy,17,Mardi,Soleil,757
Aéroport CDG 2,8,Mercredi,Pluie,472
Nation,20,Mardi,Soleil,380
La Défense,21,Mercredi,Nuageux,393
Nation,22,Vendredi,Soleil,240
Juvisy,6,Dimanche,Pluie,74
Montparnasse,16,Mardi,Soleil,244
Aéroport d'Orly,14,Lundi,Nuageux,97
Val de Fontenay,13,Jeudi,Pluie,149
République,8,Dimanche,Nuageux,218
Aéroport CDG 2,19,Dimanche,Nuageux,654
Neuilly-Plaisance,14,Mercredi,Pluie,216
Montparnasse,13,Lundi,Pluie,231
Cergy-Préfecture,11,Mercredi,Pluie,116
Nanterre-Préfecture,15,Mercredi,Nuageux,256
Noisy-le-Grand,6,Vendredi,Pluie,50
Saint-Lazare,20,Mercredi,Soleil,335
Cergy-Préfecture,10,Jeudi,Soleil,99
Juvisy,12,Jeudi,Soleil,57
Massy-Palaiseau,22,Samedi,Soleil,193
Neuilly-Plaisance,15,Jeudi,Pluie,151
Châtelet-Les Halles,8,Lundi,Soleil,568
Auber / Opéra,8,Dimanche,Nuageux,218
Marne-la-Vallée (Chessy),14,Dimanche,Nuageux,50
Juvisy,20,Vendredi,Nuageux,218
Créteil-Préfecture,7,Dimanche,Pluie,190
Châtelet-Les Halles,16,Dimanche,Nuageux,285
Aéroport d'Orly,21,Lundi,Soleil,334
Bercy,9,Lundi,Nuageux,362
Vincennes,7,Jeudi,Pluie,207
Val de Fontenay,20,Lundi,Soleil,263
Gare de Lyon,23,Mercredi,Nuageux,513
Vincennes,8,Dimanche,Soleil,80
Versailles-Chantiers,13,Mardi,Pluie,189
Cergy-Préfecture,8,Mercredi,Pluie,321
Vincennes,14,Dimanche,Pluie,166
Massy-Palaiseau,21,Lundi,Pluie,248
Créteil-Préfecture,20,Vendredi,Soleil,119
Val de Fontenay,11,Dimanche,Nuageux,164
Juvisy,19,Mercredi,Soleil,658
Cergy-Préfecture,22,Lundi,Pluie,223
Vincennes,10,Vendredi,Nuageux,81
Val de Fontenay,19,Jeudi,Soleil,862
Noisy-le-Grand,15,Mardi,Nuageux,159
Juvisy,9,Lundi,Nuageux,182
Nation,20,Samedi,Soleil,178
République,16,Mercredi,Pluie,314
Saint-Denis (Stade),8,Mardi,Pluie,314
Val de Fontenay,6,Jeudi,Nuageux,100
Massy-Palaiseau,20,Jeudi,Pluie,355
Châtelet-Les Halles,12,Mardi,Soleil,268
Val de Fontenay,21,Lundi,Soleil,205
Auber / Opéra,13,Lundi,Pluie,149
Nation,10,Vendredi,Pluie,197
Aéroport CDG 2,8,Vendredi,Pluie,487
Nanterre-Préfecture,17,Lundi,Nuageux,692
Gare de Lyon,18,Mercredi,Nuageux,1209
Gare de Lyon,16,Dimanche,Soleil,153
Aéroport CDG 2,7,Jeudi,Soleil,251
Boulogne - Pont de Sèvres,19,Dimanche,Nuageux,430
République,19,Vendredi,Soleil,817
Massy-Palaiseau,19,Mardi,Nuageux,823
Juvisy,19,Samedi,Nuageux,490
Châtelet-Les Halles,12,Samedi,Nuageux,135
Marne-la-Vallée (Chessy),21,Mardi,Nuageux,232
Gare de Lyon,18,Lundi,Soleil,1272
Bercy,10,Mardi,Soleil,122
Créteil-Préfecture,21,Mardi,Pluie,238
Marne-la-Vallée (Chessy),6,Lundi,Nuageux,91
Auber / Opéra,15,Samedi,Nuageux,143
Neuilly-Plaisance,20,Dimanche,Pluie,25
Saint-Denis (Stade),23,Samedi,Pluie,158
Cergy-Préfecture,21,Dimanche,Pluie,238
Montparnasse,10,Mercredi,Pluie,158
Val de Fontenay,18,Lundi,Nuageux,772
Gare de Lyon,17,Jeudi,Soleil,1179
Noisy-le-Grand,11,Dimanche,Soleil,98
Nation,17,Samedi,Soleil,585
Auber / Opéra,10,Vendredi,Pluie,193
Val de Fontenay,6,Mercredi,Nuageux,117
Val de Fontenay,9,Dimanche,Soleil,186
Massy-Palaiseau,16,Mercredi,Nuageux,256
Saint-Denis (Stade),19,Dimanche,Nuageux,592
Marne-la-Vallée (Chessy),10,Samedi,Soleil,1
Gare du Nord,5,Mardi,Nuageux,230
Aéroport d'Orly,15,Vendredi,Pluie,335
Versailles-Chantiers,16,Vendredi,Nuageux,243
Nation,7,Mercredi,Pluie,376
Saint-Denis (Stade),23,Jeudi,Nuageux,178
Gare du Nord,17,Jeudi,Soleil,1360
Versailles-Chantiers,15,Mardi,Pluie,192
Vincennes,11,Mardi,Nuageux,206
Montparnasse,16,Dimanche,Nuageux,258
Saint-Lazare,22,Jeudi,Soleil,388
Massy-Palaiseau,20,Vendredi,Soleil,299
Nation,12,Jeudi,Pluie,69
Aéroport CDG 2,17,Mercredi,Nuageux,913
Montparnasse,21,Lundi,Nuageux,305
Créteil-Préfecture,8,Samedi,Nuageux,110
Aéroport CDG 2,13,Dimanche,Soleil,113
Marne-la-Vallée (Chessy),13,Lundi,Pluie,219
Bercy,14,Lundi,Soleil,156
Noisy-le-Grand,15,Vendredi,Pluie,280
Saint-Denis (Stade),5,Jeudi,Soleil,78
Montparnasse,21,Mercredi,Pluie,432
Auber / Opéra,11,Mercredi,Nuageux,196
Bercy,15,Mardi,Soleil,164
Val de Fontenay,17,Vendredi,Nuageux,778
La Défense,10,Dimanche,Nuageux,169
Noisy-le-Grand,12,Mercredi,Soleil,79
Gare du Nord,14,Mardi,Soleil,226
Gare de Lyon,18,Vendredi,Pluie,1530
La Défense,16,Mercredi,Nuageux,348
Vincennes,15,Jeudi,Soleil,175
Gare de Lyon,11,Dimanche,Soleil,66
Créteil-Préfecture,17,Mercredi,Soleil,603
Versailles-Chantiers,6,Dimanche,Nuageux,40
Gare de Lyon,7,Samedi,Soleil,179
Vincennes,5,Samedi,Soleil,37
Saint-Lazare,10,Vendredi,Pluie,243
Créteil-Préfecture,5,Mardi,Pluie,69
Montparnasse,6,Vendredi,Nuageux,127
Neuilly-Plaisance,14,Lundi,Nuageux,205
Auber / Opéra,16,Dimanche,Soleil,231
La Défense,9,Mercredi,Soleil,516
Auber / Opéra,13,Dimanche,Nuageux,59
Neuilly-Plaisance,16,Lundi,Nuageux,102
Vincennes,12,Dimanche,Pluie,92
Aéroport CDG 2,14,Dimanche,Soleil,101
Saint-Lazare,18,Samedi,Soleil,759
Nation,19,Samedi,Pluie,688
Saint-Lazare,12,Jeudi,Soleil,189
La Défense,13,Mardi,Pluie,377
Montparnasse,9,Samedi,Pluie,319
République,5,Jeudi,Nuageux,32
Boulogne - Pont de Sèvres,15,Vendredi,Nuageux,117
Cergy-Préfecture,8,Mercredi,Nuageux,206
Saint-Denis (Stade),10,Mardi,Nuageux,103
Cergy-Préfecture,21,Lundi,Pluie,231
République,8,Lundi,Nuageux,259
Juvisy,9,Dimanche,Soleil,211
Noisy-le-Grand,18,Vendredi,Nuageux,745
Val de Fontenay,22,Lundi,Soleil,407
Nanterre-Préfecture,7,Vendredi,Soleil,305
Bercy,15,Mardi,Pluie,268
Bercy,19,Samedi,Pluie,551
Saint-Lazare,11,Samedi,Nuageux,126
Cergy-Préfecture,8,Jeudi,Nuageux,360
Nanterre-Préfecture,10,Mercredi,Soleil,105
Neuilly-Plaisance,14,Jeudi,Nuageux,173
Gare de Lyon,11,Dimanche,Soleil,160
Montparnasse,7,Jeudi,Pluie,483
Gare du Nord,19,Mercredi,Soleil,1545
Aéroport CDG 2,20,Mardi,Nuageux,279
Châtelet-Les Halles,7,Vendredi,Soleil,552
Gare de Lyon,16,Lundi,Pluie,352
Neuilly-Plaisance,9,Mercredi,Soleil,247
Gare du Nord,9,Dimanche,Nuageux,338
Neuilly-Plaisance,5,Samedi,Pluie,110
Cergy-Préfecture,10,Jeudi,Pluie,144
Gare du Nord,19,Mercredi,Nuageux,1528
Massy-Palaiseau,17,Mardi,Nuageux,722
Gare du Nord,11,Mercredi,Nuageux,236
Gare de Lyon,22,Lundi,Nuageux,355
Saint-Lazare,23,Jeudi,Soleil,408
Créteil-Préfecture,10,Lundi,Pluie,141
Auber / Opéra,12,Samedi,Soleil,112
Créteil-Préfecture,7,Lundi,Soleil,173
Vincennes,21,Lundi,Nuageux,167
Aéroport d'Orly,18,Lundi,Nuageux,937
Neuilly-Plaisance,18,Samedi,Soleil,333
Montparnasse,6,Mercredi,Soleil,47
Marne-la-Vallée (Chessy),8,Mercredi,Nuageux,295
Cergy-Préfecture,13,Jeudi,Pluie,166
Val de Fontenay,20,Samedi,Soleil,160
Neuilly-Plaisance,5,Dimanche,Pluie,93
Aéroport CDG 2,6,Vendredi,Pluie,147
Massy-Palaiseau,16,Vendredi,Pluie,206
Boulogne - Pont de Sèvres,20,Lundi,Soleil,296
Auber / Opéra,19,Samedi,Pluie,847
République,23,Mardi,Nuageux,435
Marne-la-Vallée (Chessy),10,Lundi,Soleil,106
Aéroport d'Orly,23,Mardi,Pluie,260
Neuilly-Plaisance,19,Mardi,Soleil,644
Vincennes,8,Samedi,Nuageux,194
Neuilly-Plaisance,20,Lundi,Soleil,231
Versailles-Chantiers,15,Samedi,Nuageux,38
Versailles-Chantiers,11,Jeudi,Soleil,57
Créteil-Préfecture,6,Mardi,Soleil,82
Noisy-le-Grand,11,Lundi,Soleil,83
République,16,Dimanche,Nuageux,204
Boulogne - Pont de Sèvres,18,Lundi,Soleil,694
Auber / Opéra,19,Lundi,Pluie,1251
Châtelet-Les Halles,11,Mardi,Soleil,304
Bercy,22,Mercredi,Soleil,224
Saint-Lazare,15,Samedi,Soleil,181
Vincennes,14,Mardi,Nuageux,161
Vincennes,18,Mercredi,Pluie,839
République,7,Mercredi,Pluie,354
Noisy-le-Grand,22,Jeudi,Soleil,265
Créteil-Préfecture,16,Vendredi,Pluie,156
Châtelet-Les Halles,5,Lundi,Pluie,189
République,17,Lundi,Soleil,826
La Défense,6,Samedi,Pluie,78
République,19,Mardi,Nuageux,889
Aéroport d'Orly,15,Dimanche,Pluie,172
Nanterre-Préfecture,10,Dimanche,Soleil,1
Vincennes,10,Vendredi,Soleil,98
Boulogne - Pont de Sèvres,16,Samedi,Pluie,132
Auber / Opéra,20,Dimanche,Soleil,256
Gare de Lyon,20,Jeudi,Nuageux,289
Nanterre-Préfecture,14,Lundi,Pluie,130
Aéroport d'Orly,21,Mardi,Nuageux,283
Massy-Palaiseau,6,Jeudi,Pluie,128
Saint-Denis (Stade),17,Vendredi,Pluie,903
Gare de Lyon,21,Dimanche,Soleil,281
Aéroport CDG 2,13,Mardi,Soleil,188
Montparnasse,19,Jeudi,Soleil,1154
Cergy-Préfecture,11,Vendredi,Soleil,103
La Défense,17,Lundi,Pluie,1555
Val de Fontenay,14,Vendredi,Nuageux,242
Nanterre-Préfecture,22,Mardi,Nuageux,269
Saint-Denis (Stade),14,Lundi,Nuageux,185
Vincennes,22,Mercredi,Nuageux,351
Aéroport CDG 2,18,Mardi,Soleil,1093
Versailles-Chantiers,23,Mercredi,Soleil,315
Boulogne - Pont de Sèvres,5,Vendredi,Soleil,0
Marne-la-Vallée (Chessy),8,Samedi,Pluie,290
Cergy-Préfecture,18,Samedi,Pluie,537
Boulogne - Pont de Sèvres,9,Jeudi,Nuageux,368
Saint-Lazare,9,Dimanche,Soleil,275
Montparnasse,18,Lundi,Nuageux,1051
Versailles-Chantiers,12,Mardi,Soleil,133
Massy-Palaiseau,16,Lundi,Soleil,207
Cergy-Préfecture,21,Vendredi,Soleil,251
Gare du Nord,7,Samedi,Soleil,194
Val de Fontenay,8,Vendredi,Pluie,335
Gare de Lyon,9,Samedi,Nuageux,279
Saint-Lazare,5,Dimanche,Pluie,84
Auber / Opéra,6,Jeudi,Soleil,119
Massy-Palaiseau,9,Jeudi,Pluie,368
Nation,23,Dimanche,Soleil,245
Châtelet-Les Halles,9,Mardi,Nuageux,653
Nanterre-Préfecture,17,Samedi,Soleil,428
Vincennes,9,Lundi,Nuageux,305
Aéroport d'Orly,12,Mardi,Nuageux,101
Neuilly-Plaisance,13,Mercredi,Nuageux,115
Vincennes,19,Vendredi,Pluie,875
Créteil-Préfecture,7,Dimanche,Nuageux,144
Saint-Denis (Stade),5,Mercredi,Nuageux,77
Vincennes,11,Mercredi,Soleil,120
République,17,Lundi,Pluie,926
Cergy-Préfecture,7,Mercredi,Pluie,331
Gare du Nord,14,Dimanche,Soleil,134
Vincennes,22,Mercredi,Pluie,256
Vincennes,20,Jeudi,Nuageux,143
Auber / Opéra,13,Mardi,Soleil,235
Versailles-Chantiers,19,Dimanche,Soleil,488
Noisy-le-Grand,18,Jeudi,Soleil,748
Créteil-Préfecture,23,Lundi,Nuageux,239
Massy-Palaiseau,10,Mardi,Soleil,106
Val de Fontenay,11,Dimanche,Nuageux,94
Bercy,9,Mardi,Nuageux,396
Nanterre-Préfecture,17,Vendredi,Soleil,756
Châtelet-Les Halles,9,Samedi,Pluie,482
Marne-la-Vallée (Chessy),18,Vendredi,Soleil,951
Montparnasse,5,Mercredi,Soleil,123
Nation,5,Mardi,Pluie,98
Châtelet-Les Halles,13,Mardi,Pluie,347
Auber / Opéra,13,Vendredi,Nuageux,249
Gare du Nord,19,Mercredi,Pluie,1762
Auber / Opéra,9,Vendredi,Pluie,462
Auber / Opéra,11,Mardi,Pluie,202
République,6,Lundi,Soleil,77
Saint-Denis (Stade),15,Vendredi,Nuageux,184
Gare de Lyon,14,Dimanche,Pluie,215
Créteil-Préfecture,23,Jeudi,Nuageux,284
Auber / Opéra,9,Samedi,Nuageux,168
Aéroport d'Orly,19,Vendredi,Nuageux,870
Juvisy,6,Dimanche,Soleil,4
Noisy-le-Grand,15,Mardi,Soleil,83
Val de Fontenay,8,Dimanche,Nuageux,185
République,21,Mercredi,Soleil,278
Marne-la-Vallée (Chessy),6,Dimanche,Nuageux,82
Nation,14,Samedi,Pluie,50
Versailles-Chantiers,15,Mardi,Pluie,94
Marne-la-Vallée (Chessy),5,Mercredi,Pluie,87
Versailles-Chantiers,22,Mardi,Soleil,300
Massy-Palaiseau,9,Jeudi,Nuageux,357
Nanterre-Préfecture,9,Jeudi,Soleil,254
Marne-la-Vallée (Chessy),8,Mercredi,Nuageux,280
Boulogne - Pont de Sèvres,13,Jeudi,Nuageux,100
Montparnasse,23,Dimanche,Soleil,201
Bercy,7,Lundi,Pluie,347
Saint-Lazare,19,Samedi,Soleil,667
Bercy,18,Dimanche,Soleil,497
Val de Fontenay,5,Dimanche,Soleil,28
Boulogne - Pont de Sèvres,14,Lundi,Pluie,135
Saint-Lazare,17,Jeudi,Soleil,1106
Bercy,16,Vendredi,Pluie,161
Marne-la-Vallée (Chessy),5,Jeudi,Pluie,86
Aéroport d'Orly,6,Mercredi,Pluie,74
La Défense,15,Jeudi,Pluie,378
Auber / Opéra,16,Jeudi,Pluie,316
Gare du Nord,5,Mercredi,Pluie,119
Auber / Opéra,14,Lundi,Soleil,221
Massy-Palaiseau,7,Vendredi,Pluie,206
Noisy-le-Grand,13,Mardi,Pluie,241
Versailles-Chantiers,21,Vendredi,Soleil,258
République,23,Mardi,Nuageux,345
Noisy-le-Grand,22,Jeudi,Pluie,320
Vincennes,9,Lundi,Nuageux,309
Noisy-le-Grand,11,Jeudi,Pluie,143
Massy-Palaiseau,19,Dimanche,Soleil,606
Nation,10,Samedi,Soleil,104
République,9,Mardi,Nuageux,290
République,23,Dimanche,Pluie,223
Nation,17,Dimanche,Soleil,549
Cergy-Préfecture,11,Lundi,Soleil,126
Aéroport d'Orly,6,Mardi,Soleil,112
Auber / Opéra,10,Jeudi,Nuageux,166
Massy-Palaiseau,19,Dimanche,Soleil,563
Auber / Opéra,9,Mardi,Nuageux,472
Saint-Lazare,9,Samedi,Soleil,222
Montparnasse,8,Lundi,Soleil,346
Massy-Palaiseau,17,Samedi,Pluie,573
Nation,22,Vendredi,Soleil,299
Châtelet-Les Halles,5,Jeudi,Soleil,166
Cergy-Préfecture,7,Mardi,Nuageux,241
Massy-Palaiseau,11,Mardi,Pluie,165
La Défense,5,Samedi,Pluie,67
Noisy-le-Grand,18,Vendredi,Pluie,837
Nation,19,Lundi,Soleil,932
Cergy-Préfecture,20,Samedi,Pluie,113
Boulogne - Pont de Sèvres,9,Mercredi,Soleil,292
Auber / Opéra,7,Mercredi,Pluie,354
Versailles-Chantiers,21,Mercredi,Nuageux,283
Vincennes,9,Dimanche,Soleil,178
Boulogne - Pont de Sèvres,5,Jeudi,Soleil,28
Gare du Nord,17,Dimanche,Nuageux,768
Boulogne - Pont de Sèvres,22,Samedi,Pluie,198
Gare du Nord,5,Mercredi,Pluie,157
Bercy,23,Dimanche,Nuageux,141
Montparnasse,10,Samedi,Nuageux,100
Gare de Lyon,13,Mercredi,Nuageux,241
Vincennes,18,Vendredi,Pluie,784
Noisy-le-Grand,15,Mercredi,Pluie,335
Massy-Palaiseau,8,Dimanche,Soleil,214
Versailles-Chantiers,11,Mardi,Nuageux,201
Créteil-Préfecture,22,Vendredi,Soleil,219
Châtelet-Les Halles,22,Mardi,Soleil,401
Juvisy,10,Jeudi,Soleil,100
Vincennes,9,Vendredi,Soleil,289
Marne-la-Vallée (Chessy),10,Mardi,Soleil,119
République,6,Mardi,Soleil,93
Neuilly-Plaisance,6,Lundi,Nuageux,53
Montparnasse,5,Lundi,Pluie,96
Créteil-Préfecture,22,Lundi,Soleil,278
Gare du Nord,14,Lundi,Pluie,403
Créteil-Préfecture,11,Mercredi,Soleil,87
Créteil-Préfecture,6,Dimanche,Pluie,173
Auber / Opéra,23,Jeudi,Pluie,507
Versailles-Chantiers,14,Mercredi,Soleil,225
République,16,Jeudi,Pluie,250
Juvisy,16,Vendredi,Nuageux,230
Gare de Lyon,19,Jeudi,Soleil,1314
Gare du Nord,22,Mercredi,Soleil,469
Boulogne - Pont de Sèvres,5,Dimanche,Soleil,18
Châtelet-Les Halles,10,Dimanche,Pluie,144
Nanterre-Préfecture,13,Dimanche,Soleil,165
Neuilly-Plaisance,10,Vendredi,Nuageux,93
Noisy-le-Grand,10,Samedi,Pluie,63
Marne-la-Vallée (Chessy),10,Vendredi,Nuageux,124
Montparnasse,20,Samedi,Pluie,271
La Défense,19,Vendredi,Pluie,1611
Gare de Lyon,12,Lundi,Soleil,200
Massy-Palaiseau,6,Dimanche,Pluie,104
Aéroport CDG 2,15,Mercredi,Soleil,259
Val de Fontenay,13,Lundi,Soleil,155
Nation,20,Dimanche,Nuageux,257
Neuilly-Plaisance,6,Samedi,Nuageux,80
Juvisy,15,Mardi,Pluie,246
Juvisy,21,Dimanche,Nuageux,89
République,10,Dimanche,Soleil,58
Montparnasse,10,Vendredi,Pluie,164
Versailles-Chantiers,13,Vendredi,Soleil,165
Massy-Palaiseau,5,Vendredi,Nuageux,124
Noisy-le-Grand,16,Dimanche,Nuageux,168
Saint-Lazare,15,Mercredi,Pluie,324
Boulogne - Pont de Sèvres,21,Vendredi,Soleil,200
Saint-Denis (Stade),11,Mercredi,Pluie,210
Marne-la-Vallée (Chessy),8,Mardi,Soleil,308
Vincennes,13,Mardi,Soleil,126
Créteil-Préfecture,23,Mardi,Soleil,226
Marne-la-Vallée (Chessy),19,Lundi,Nuageux,963
Gare de Lyon,10,Vendredi,Nuageux,181
Juvisy,8,Mardi,Soleil,250
Châtelet-Les Halles,9,Jeudi,Soleil,671
Neuilly-Plaisance,17,Samedi,Nuageux,435
Saint-Denis (Stade),9,Samedi,Nuageux,206
République,6,Mercredi,Pluie,125
Bercy,15,Samedi,Nuageux,100
Versailles-Chantiers,22,Jeudi,Nuageux,217
Juvisy,19,Mardi,Soleil,728
Massy-Palaiseau,21,Lundi,Pluie,289
Aéroport CDG 2,21,Lundi,Nuageux,405
Gare de Lyon,23,Jeudi,Nuageux,481
Cergy-Préfecture,20,Dimanche,Pluie,210
Auber / Opéra,15,Mardi,Nuageux,243
République,21,Vendredi,Nuageux,219
Nation,12,Mercredi,Soleil,184
Nanterre-Préfecture,12,Dimanche,Soleil,1
Auber / Opéra,16,Mercredi,Nuageux,161
Bercy,19,Lundi,Pluie,953
Nation,8,Samedi,Soleil,125
Boulogne - Pont de Sèvres,12,Jeudi,Pluie,205
Massy-Palaiseau,19,Mardi,Pluie,1081
Neuilly-Plaisance,9,Mardi,Nuageux,244
Marne-la-Vallée (Chessy),14,Dimanche,Pluie,96
Neuilly-Plaisance,23,Vendredi,Nuageux,250
Nanterre-Préfecture,19,Vendredi,Soleil,889
Gare du Nord,10,Samedi,Pluie,141
Neuilly-Plaisance,13,Dimanche,Nuageux,132
Marne-la-Vallée (Chessy),10,Mardi,Soleil,88
Auber / Opéra,13,Mardi,Soleil,260
Noisy-le-Grand,12,Mercredi,Pluie,188
Versailles-Chantiers,20,Samedi,Soleil,107
Gare de Lyon,14,Jeudi,Nuageux,307
Châtelet-Les Halles,13,Mercredi,Nuageux,298
Massy-Palaiseau,12,Vendredi,Soleil,192
La Défense,18,Dimanche,Pluie,962
Massy-Palaiseau,11,Lundi,Soleil,173
Nation,15,Samedi,Pluie,149
La Défense,20,Mardi,Pluie,455
Bercy,21,Mardi,Pluie,353
Gare du Nord,12,Dimanche,Pluie,163
Saint-Denis (Stade),16,Dimanche,Nuageux,223
Gare de Lyon,21,Jeudi,Pluie,437
Marne-la-Vallée (Chessy),19,Vendredi,Pluie,1128
Val de Fontenay,11,Mardi,Soleil,212
Marne-la-Vallée (Chessy),23,Mercredi,Pluie,357
Noisy-le-Grand,21,Samedi,Soleil,145
Gare de Lyon,17,Samedi,Pluie,906
Gare du Nord,12,Samedi,Soleil,141
Gare du Nord,18,Jeudi,Soleil,1366
Val de Fontenay,12,Mardi,Pluie,235
Saint-Denis (Stade),18,Lundi,Pluie,995
Montparnasse,9,Vendredi,Pluie,443
République,16,Dimanche,Pluie,178
Aéroport d'Orly,15,Jeudi,Nuageux,264
Versailles-Chantiers,8,Dimanche,Pluie,299
Massy-Palaiseau,6,Mercredi,Pluie,103
Neuilly-Plaisance,14,Vendredi,Pluie,166
Juvisy,14,Mardi,Pluie,285
La Défense,11,Lundi,Nuageux,219
Montparnasse,16,Mercredi,Nuageux,275
Versailles-Chantiers,20,Vendredi,Nuageux,179
Aéroport d'Orly,14,Mardi,Pluie,219
Marne-la-Vallée (Chessy),12,Jeudi,Soleil,142
Cergy-Préfecture,12,Samedi,Soleil,64
Aéroport CDG 2,9,Mardi,Pluie,510
République,8,Jeudi,Nuageux,285
Massy-Palaiseau,16,Jeudi,Pluie,314
Saint-Denis (Stade),15,Mardi,Soleil,183
Auber / Opéra,19,Lundi,Soleil,1067
Bercy,17,Samedi,Pluie,505
Gare de Lyon,5,Jeudi,Soleil,220
Bercy,9,Samedi,Nuageux,254
La Défense,10,Jeudi,Pluie,124
Boulogne - Pont de Sèvres,17,Mardi,Soleil,578
République,14,Jeudi,Pluie,131
Noisy-le-Grand,16,Dimanche,Pluie,150
Châtelet-Les Halles,7,Mercredi,Nuageux,554
Vincennes,15,Vendredi,Soleil,152
Vincennes,19,Mardi,Soleil,788
Val de Fontenay,21,Dimanche,Nuageux,209
Bercy,9,Mercredi,Pluie,266
Nanterre-Préfecture,9,Dimanche,Nuageux,219
Auber / Opéra,15,Samedi,Nuageux,113
Châtelet-Les Halles,12,Jeudi,Soleil,325
Auber / Opéra,15,Jeudi,Pluie,329
Montparnasse,19,Jeudi,Pluie,1251
Créteil-Préfecture,13,Vendredi,Nuageux,68
Cergy-Préfecture,22,Dimanche,Soleil,169
Nanterre-Préfecture,10,Lundi,Nuageux,63
Nation,10,Mardi,Soleil,92
Saint-Denis (Stade),15,Mercredi,Nuageux,190
Gare du Nord,7,Lundi,Nuageux,454
Nation,15,Mardi,Nuageux,210
Marne-la-Vallée (Chessy),7,Jeudi,Nuageux,226
Gare de Lyon,22,Jeudi,Nuageux,452
Boulogne - Pont de Sèvres,7,Mercredi,Pluie,236
Vincennes,14,Lundi,Soleil,256
Auber / Opéra,8,Jeudi,Pluie,460
Aéroport d'Orly,8,Vendredi,Nuageux,289
Nation,5,Mardi,Nuageux,35
Val de Fontenay,21,Mercredi,Pluie,330
Gare du Nord,10,Vendredi,Soleil,312
République,8,Mercredi,Pluie,394
Saint-Lazare,13,Mardi,Nuageux,235
Créteil-Préfecture,14,Lundi,Nuageux,161
Châtelet-Les Halles,9,Dimanche,Soleil,309
La Défense,12,Vendredi,Nuageux,282
Bercy,22,Jeudi,Soleil,218
Montparnasse,12,Mercredi,Soleil,159
Neuilly-Plaisance,22,Lundi,Nuageux,256
Créteil-Préfecture,11,Mardi,Soleil,113
Châtelet-Les Halles,12,Jeudi,Nuageux,373
République,11,Mercredi,Pluie,55
Versailles-Chantiers,23,Dimanche,Nuageux,155
Noisy-le-Grand,15,Lundi,Soleil,192
Aéroport CDG 2,15,Mardi,Nuageux,241
Auber / Opéra,7,Samedi,Soleil,282
Cergy-Préfecture,17,Dimanche,Nuageux,378
Nation,14,Samedi,Nuageux,151
Aéroport CDG 2,10,Samedi,Soleil,162
Auber / Opéra,7,Lundi,Nuageux,310
Créteil-Préfecture,14,Mardi,Soleil,46
Gare de Lyon,6,Jeudi,Pluie,131
